server-01,Application,Backup completed,Info,john.doe,192.168.1.100,Performed routine task,No additional information,2023-03-15 20:49:18,2331,o6eGtLjK
server-01,Application,User login successful,Info,john.doe,192.168.1.100,Performed routine task,No additional information,2023-02-04 22:12:58,8384,ZOR1UsVs
server-01,Application,File saved,Info,john.doe,192.168.1.100,Performed routine task,No additional information,2023-08-19 13:17:33,6032,yDaTLNeO
server-01,Application,User login successful,Info,john.doe,192.168.1.100,Performed routine task,No additional information,2023-03-10 00:33:12,9431,4JgXQeZl
server-01,Application,User login successful,Info,john.doe,192.168.1.100,Performed routine task,No additional information,2023-03-28 19:13:45,4588,61qVXBa2
server-01,Application,Backup completed,Info,john.doe,192.168.1.100,Performed routine task,No additional information,2023-05-29 03:42:34,7637,n7KZ9gud
server-01,Application,Network connection established,Info,john.doe,192.168.1.100,Performed routine task,No additional information,2023-11-30 07:18:27,9313,8fv7Gql4
server-01,Application,Network connection established,Info,john.doe,192.168.1.100,Performed routine task,No additional information,2023-11-05 10:46:37,6541,ZJwtg7he
server-01,Application,Network connection established,Info,john.doe,192.168.1.100,Performed routine task,No additional information,2023-04-28 00:48:16,9134,B4zrInDM
server-01,Application,File saved,Info,john.doe,192.168.1.100,Performed routine task,No additional information,2023-06-19 23:31:45,8565,82cXEqfy
server-01,Application,File saved,Info,john.doe,192.168.1.100,Performed routine task,No additional information,2023-09-21 09:51:57,3452,z73fmD4m
server-01,Application,Task completed successfully,Info,john.doe,192.168.1.100,Performed routine task,No additional information,2023-08-16 11:27:41,8386,07hU7Vi9
server-01,Application,User login successful,Info,john.doe,192.168.1.100,Performed routine task,No additional information,2023-12-27 03:27:43,1210,ewMRPBmI
server-01,Application,User login successful,Info,john.doe,192.168.1.100,Performed routine task,No additional information,2023-09-29 01:26:25,3328,mKKyatvr
server-01,Application,Backup completed,Info,john.doe,192.168.1.100,Performed routine task,No additional information,2023-03-01 23:50:42,3390,3VBdQGvn
server-01,Application,Network connection established,Info,john.doe,192.168.1.100,Performed routine task,No additional information,2023-11-09 13:45:54,5946,3yuwe4qQ
server-01,Application,Task completed successfully,Info,john.doe,192.168.1.100,Performed routine task,No additional information,2023-07-26 21:14:32,8146,tfk7fLeT
server-01,Application,System started,Info,john.doe,192.168.1.100,Performed routine task,No additional information,2023-01-22 11:47:15,5348,Xg45MKUp
server-01,Application,Task completed successfully,Info,john.doe,192.168.1.100,Performed routine task,No additional information,2023-03-05 21:14:19,4201,qh1ouR9y
server-01,Application,Backup completed,Info,john.doe,192.168.1.100,Performed routine task,No additional information,2023-06-08 03:13:31,6445,HalFsI0g
server-01,Application,System started,Info,john.doe,192.168.1.100,Performed routine task,No additional information,2023-08-12 10:12:09,8272,LHiKxCZF
server-01,Application,Network connection established,Info,john.doe,192.168.1.100,Performed routine task,No additional information,2023-07-15 20:18:54,2291,ZLwGFqJq
server-01,Application,User login successful,Info,john.doe,192.168.1.100,Performed routine task,No additional information,2023-12-03 03:18:05,2484,jxvbcaBx
server-01,Application,User login successful,Info,john.doe,192.168.1.100,Performed routine task,No additional information,2023-07-17 13:20:38,4115,O5zQ7d24
server-01,Application,Task completed successfully,Info,john.doe,192.168.1.100,Performed routine task,No additional information,2023-07-08 15:02:52,4868,AyODc4NA
server-01,Application,Backup completed,Info,john.doe,192.168.1.100,Performed routine task,No additional information,2023-02-21 22:19:47,2710,VVBeE5BP
server-01,Application,File saved,Info,john.doe,192.168.1.100,Performed routine task,No additional information,2023-01-07 08:42:35,7419,BfdIQMtY
server-01,Application,Backup completed,Info,john.doe,192.168.1.100,Performed routine task,No additional information,2023-09-16 06:31:31,3338,oQcGSYi5
server-01,Application,Task completed successfully,Info,john.doe,192.168.1.100,Performed routine task,No additional information,2023-07-03 08:49:27,5854,3gHuJRLE
server-01,Application,Task completed successfully,Info,john.doe,192.168.1.100,Performed routine task,No additional information,2023-01-03 08:47:00,7914,xuZtT7kL
server-01,Application,File saved,Info,john.doe,192.168.1.100,Performed routine task,No additional information,2023-03-30 14:49:57,8604,fVjN7ZSA
server-01,Application,Task completed successfully,Info,john.doe,192.168.1.100,Performed routine task,No additional information,2023-10-24 18:54:32,2319,qv2GqisB
server-01,Application,Backup completed,Info,john.doe,192.168.1.100,Performed routine task,No additional information,2023-03-16 06:32:42,4191,DQbvxeSl
